feature,importance
lnltotpop,0.1909705303833714
lnlrgdpcap,0.1654703908810995
lv2x_polyarchy,0.16244885071908688
t_claim,0.1373487816289674
groupsize,0.11233866535118307
numb_rel_grps,0.08800355212644288
status_excl_1.0,0.03580690112532603
lost_autonomy_1.0,0.03429930980425016
lfederal_1,0.021562510113558843
coldwar_1,0.015561475891467207
regaut_1.0,0.013921642884382144
downgr2_aut_1.0,0.013455496736878795
noncontiguous_1.0,0.008811892353985775
