feature,importance
lnlrgdpcap,0.23044048124633687
lv2x_polyarchy,0.1973745063371179
lnltotpop,0.16812904857846458
t_escal,0.13766796710036522
groupsize,0.11021571976692926
numb_rel_grps,0.08099057128163724
coldwar_1,0.026343021199285607
noncontiguous_1.0,0.01960916961643154
regaut_1.0,0.015713777109450804
lfederal_1,0.013515737763981052
